,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
670,Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128.0,44,63,91.0,0,24.0,80,A,Major,76,92,62,6,0,8,13
671,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265.0,284,114,0.0,0,5.0,150,C#,Minor,91,42,60,0,0,9,12
672,Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401.0,83,63,0.0,0,0.0,80,F#,Minor,78,53,74,4,0,45,21
673,Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317.0,65,45,398.0,0,1.0,166,A#,Minor,81,83,75,14,0,29,34
675,A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800.0,21,20,40.0,0,0.0,92,Unknown,Major,86,89,79,17,0,11,6
676,Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692.0,47,3,42.0,12,6.0,85,G#,Minor,74,61,52,30,0,26,9
677,212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338.0,10,0,39.0,0,0.0,154,D,Minor,79,86,52,66,0,9,7
679,Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573.0,25,0,14.0,0,0.0,140,B,Major,89,75,70,6,0,13,5
680,Worst Day,Future,1,2022,2,11,910,0,50746620.0,20,3,24.0,0,0.0,89,C#,Major,65,60,60,11,0,10,40
681,Malvada,Z   Fe,1,2022,1,28,601,0,154119539.0,28,73,64.0,0,0.0,135,F,Minor,89,89,86,16,0,8,5
684,Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092.0,363,129,0.0,0,28.0,79,D,Major,78,58,45,47,0,18,3
687,Mal Feito - Ao Vivo,"Mar  lia Mendon  a, Hugo & G",2,2022,1,14,971,2,291709698.0,35,104,93.0,1,0.0,124,Unknown,Minor,73,68,83,55,0,90,7
689,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745.0,42,1,26.0,0,0.0,120,C#,Minor,84,54,51,47,0,12,40
691,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943.0,8,0,29.0,0,0.0,117,C#,Major,92,62,86,11,0,24,24
692,Se  o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918.0,453,50,0.0,1,8.0,117,A,Minor,76,77,52,4,0,8,3
694,Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367.0,246,71,519.0,2,5.0,99,G#,Major,68,57,77,2,0,10,5
695,La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783.0,52,42,100.0,0,0.0,93,C#,Major,74,59,87,3,0,8,5
697,Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472.0,69,2,51.0,11,0.0,124,G,Major,81,68,63,17,0,10,22
